Trust_Code,Trust_Name,Region,Specialty,Reporting_Month,Patients_Waiting,Number_Waiting_Over_18_Weeks,RTT_18wk_Standard_Met,Median_Wait_Weeks,Number_Waiting_Over_52_Weeks
RXD,Kingswood Nhs Foundation Trust,South East,Cardiology,01/05/2024,2621,1020,No,15.5,4
RXB,Eastfield General Hospitals Trust,East Of England,Urology,01/03/2023,4918,2033,No,15.7,301
RXD,Kingswood Nhs Foundation Trust,South East,Dermatology,01/02/2024,2280,452,No,14.9,74
RXC,Riverside University Hospitals Trust,London,Dermatology,01/12/2023,3374,1092,No,9.6,46
RXA,Northgate Nhs Foundation Trust,North West,Urology,01/08/2024,468,114,No,13.8,1
RXC,Riverside University Hospitals Trust,London,Urology,01/02/2024,6033,1889,No,16.8,174
RXD,Kingswood Nhs Foundation Trust,South East,T&O,01/05/2024,5311,2705,No,8.9,220
RXH,Sherbourne Nhs Foundation Trust,North East,Urology,01/01/2023,4097,1233,No,14.6,102
RXB,Eastfield General Hospitals Trust,East Of England,Dermatology,01/10/2023,2193,475,No,8.7,64
RXB,Eastfield General Hospitals Trust,East Of England,ENT,01/09/2023,5041,1520,No,15.1,325
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,General Surgery,01/07/2023,2307,856,No,3.4,77
RXF,Harborview Nhs Foundation Trust,South West,T&O,01/06/2023,4863,1146,No,12.9,206
RXA,Northgate Nhs Foundation Trust,North West,Urology,01/01/2024,988,416,No,11.1,16
RXD,Kingswood Nhs Foundation Trust,South East,Dermatology,01/08/2023,2456,309,No,14.2,0
RXE,Vale Of Aldern Nhs Trust,West Midlands,Ophthalmology,01/04/2023,2342,765,No,10.6,91
RXE,Vale Of Aldern Nhs Trust,West Midlands,Ophthalmology,01/10/2024,2337,1032,No,12.1,189
RXC,Riverside University Hospitals Trust,London,Urology,01/11/2023,6119,1575,No,13.1,220
RXD,Kingswood Nhs Foundation Trust,South East,General Surgery,01/08/2024,5844,1790,No,17.3,42
RXA,Northgate Nhs Foundation Trust,North West,Urology,01/07/2024,838,324,No,13.9,18
RXC,Riverside University Hospitals Trust,London,Gastroenterology,01/10/2024,2954,871,No,11.2,50
RXF,Harborview Nhs Foundation Trust,South West,General Surgery,01/01/2024,5524,2738,No,14.8,82
RXH,Sherbourne Nhs Foundation Trust,North East,General Surgery,01/07/2023,657,215,No,13.2,39
RXC,Riverside University Hospitals Trust,London,ENT,01/11/2023,3422,1175,No,16.5,99
RXE,Vale Of Aldern Nhs Trust,West Midlands,Cardiology,01/06/2023,4015,1498,No,8.9,111
RXF,Harborview Nhs Foundation Trust,South West,Cardiology,01/08/2023,2260,383,No,11.1,57
RXA,Northgate Nhs Foundation Trust,North West,Gastroenterology,01/11/2024,5941,1936,No,17.4,188
RXH,Sherbourne Nhs Foundation Trust,North East,Dermatology,01/06/2023,3581,1822,No,13.9,156
RXA,Northgate Nhs Foundation Trust,North West,Ophthalmology,01/03/2024,4305,1718,No,16.4,215
RXC,Riverside University Hospitals Trust,London,General Surgery,01/06/2023,4426,1444,No,14.4,272
RXF,Harborview Nhs Foundation Trust,South West,Dermatology,01/03/2024,2865,1185,No,17,174
RXF,Harborview Nhs Foundation Trust,South West,Ophthalmology,01/05/2023,2753,795,No,16.7,119
RXF,Harborview Nhs Foundation Trust,South West,General Surgery,01/12/2023,5635,3372,No,11.5,658
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Cardiology,01/03/2023,2933,1210,No,12.8,125
RXD,Kingswood Nhs Foundation Trust,South East,Urology,01/06/2024,2228,989,No,13.7,184
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Dermatology,01/03/2024,3079,1069,No,13.2,221
RXA,Northgate Nhs Foundation Trust,North West,Dermatology,01/04/2023,2088,601,No,12.4,26
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,T&O,01/12/2023,4214,1022,No,10.8,159
RXB,Eastfield General Hospitals Trust,East Of England,ENT,01/04/2023,5328,2789,No,10.4,367
RXE,Vale Of Aldern Nhs Trust,West Midlands,Gastroenterology,01/10/2024,4213,2477,No,15.2,321
RXF,Harborview Nhs Foundation Trust,South West,Gastroenterology,01/08/2024,6208,1674,No,16.9,94
RXF,Harborview Nhs Foundation Trust,South West,Gastroenterology,01/10/2024,6291,1518,No,13,182
RXB,Eastfield General Hospitals Trust,East Of England,T&O,01/04/2024,1324,531,No,14.3,55
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,T&O,01/05/2024,4246,1832,No,12,218
RXF,Harborview Nhs Foundation Trust,South West,T&O,01/04/2024,4717,1476,No,14.6,35
RXF,Harborview Nhs Foundation Trust,South West,T&O,01/05/2023,4707,787,No,15.8,101
RXE,Vale Of Aldern Nhs Trust,West Midlands,Cardiology,01/10/2024,3970,2142,No,15.3,135
RXH,Sherbourne Nhs Foundation Trust,North East,Dermatology,01/07/2023,3166,1245,No,14.2,119
RXH,Sherbourne Nhs Foundation Trust,North East,Gastroenterology,01/07/2023,1867,587,No,14.8,69
RXH,Sherbourne Nhs Foundation Trust,North East,T&O,01/08/2024,1042,364,No,15.2,68
RXB,Eastfield General Hospitals Trust,East Of England,ENT,01/11/2024,4845,1661,No,14.7,195
RXA,Northgate Nhs Foundation Trust,North West,ENT,01/10/2023,4180,1299,No,14.9,190
RXB,Eastfield General Hospitals Trust,East Of England,ENT,01/10/2023,4791,1784,No,9,326
RXA,Northgate Nhs Foundation Trust,North West,T&O,01/05/2023,2845,449,No,12.4,53
RXD,Kingswood Nhs Foundation Trust,South East,Dermatology,01/02/2023,2641,734,No,10.6,77
RXA,Northgate Nhs Foundation Trust,North West,General Surgery,01/08/2024,1307,449,No,14,79
RXH,Sherbourne Nhs Foundation Trust,North East,T&O,01/03/2023,1079,342,No,12,41
RXD,Kingswood Nhs Foundation Trust,South East,Ophthalmology,01/11/2024,1812,713,No,16.1,91
RXC,Riverside University Hospitals Trust,London,Cardiology,01/06/2023,6367,3326,No,15.1,533
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Dermatology,01/12/2024,3052,1225,No,16.6,119
RXC,Riverside University Hospitals Trust,London,Cardiology,01/08/2023,6166,1478,No,10.8,233
RXC,Riverside University Hospitals Trust,London,Cardiology,01/09/2024,6519,2582,No,15.3,449
RXB,Eastfield General Hospitals Trust,East Of England,General Surgery,01/08/2024,1853,492,No,12,58
RXH,Sherbourne Nhs Foundation Trust,North East,Gastroenterology,01/12/2024,2117,429,No,15.5,34
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,T&O,01/07/2024,4078,1087,No,9.1,38
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Cardiology,01/03/2024,2844,1161,No,18.4,107
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,ENT,01/03/2024,2002,690,No,17.3,103
RXH,Sherbourne Nhs Foundation Trust,North East,Ophthalmology,01/03/2024,4474,2386,No,11.6,371
RXC,Riverside University Hospitals Trust,London,Dermatology,01/01/2023,3237,1544,No,11.8,243
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Cardiology,01/10/2023,2899,657,No,13.3,4
RXD,Kingswood Nhs Foundation Trust,South East,Cardiology,01/06/2024,2516,868,No,17.1,30
RXA,Northgate Nhs Foundation Trust,North West,ENT,01/04/2023,3888,1535,No,8.9,348
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Dermatology,01/11/2024,2801,1081,No,18.2,25
RXD,Kingswood Nhs Foundation Trust,South East,T&O,01/03/2024,5395,2041,No,7.6,271
RXD,Kingswood Nhs Foundation Trust,South East,General Surgery,01/05/2024,5645,2298,No,15.9,267
RXA,Northgate Nhs Foundation Trust,North West,ENT,01/11/2023,4461,1513,No,11.3,137
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,General Surgery,01/11/2024,2164,699,No,14.8,67
RXB,Eastfield General Hospitals Trust,East Of England,Gastroenterology,01/09/2024,486,258,No,15.2,40
RXF,Harborview Nhs Foundation Trust,South West,General Surgery,01/02/2024,5714,1271,No,14,181
RXA,Northgate Nhs Foundation Trust,North West,ENT,01/01/2023,3937,1138,No,10.6,81
RXF,Harborview Nhs Foundation Trust,South West,Dermatology,01/01/2024,2653,1030,No,12.8,73
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Dermatology,01/05/2024,2864,887,No,16.4,149
RXA,Northgate Nhs Foundation Trust,North West,T&O,01/07/2024,3043,1315,No,15.9,307
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Urology,01/10/2023,2708,1417,No,14,175
RXE,Vale Of Aldern Nhs Trust,West Midlands,ENT,01/07/2023,3401,579,No,11.3,121
RXH,Sherbourne Nhs Foundation Trust,North East,T&O,01/12/2024,744,230,No,12.5,16
RXH,Sherbourne Nhs Foundation Trust,North East,General Surgery,01/11/2024,1369,436,No,14.7,2
RXE,Vale Of Aldern Nhs Trust,West Midlands,T&O,01/03/2024,5991,2564,No,11.1,211
RXH,Sherbourne Nhs Foundation Trust,North East,Dermatology,01/09/2024,3657,1320,No,13.9,125
RXA,Northgate Nhs Foundation Trust,North West,Dermatology,01/07/2023,2441,1157,No,18.2,132
RXD,Kingswood Nhs Foundation Trust,South East,Dermatology,01/09/2024,2442,637,No,13.6,112
RXE,Vale Of Aldern Nhs Trust,West Midlands,Dermatology,01/10/2023,5174,1178,No,16.3,261
RXD,Kingswood Nhs Foundation Trust,South East,T&O,01/11/2023,5517,2962,No,12.8,2
RXH,Sherbourne Nhs Foundation Trust,North East,Gastroenterology,01/05/2024,2181,816,No,16.8,102
RXC,Riverside University Hospitals Trust,London,Ophthalmology,01/04/2024,3130,955,No,17.6,41
RXB,Eastfield General Hospitals Trust,East Of England,Gastroenterology,01/05/2024,958,235,No,16.6,35
RXB,Eastfield General Hospitals Trust,East Of England,Dermatology,01/01/2023,2495,879,No,17.7,0
RXE,Vale Of Aldern Nhs Trust,West Midlands,Dermatology,01/08/2023,5102,1903,No,14.5,153
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Ophthalmology,01/05/2023,5008,1608,No,15.3,336
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Dermatology,01/02/2024,2955,798,No,13.1,103
RXH,Sherbourne Nhs Foundation Trust,North East,Dermatology,01/08/2023,3369,842,No,14,127
RXB,Eastfield General Hospitals Trust,East Of England,Cardiology,01/02/2024,1217,466,No,9.3,79
RXH,Sherbourne Nhs Foundation Trust,North East,Ophthalmology,01/07/2024,4689,958,No,11.4,222
RXA,Northgate Nhs Foundation Trust,North West,Cardiology,01/12/2024,5894,2191,No,14.4,382
RXB,Eastfield General Hospitals Trust,East Of England,Ophthalmology,01/12/2024,1919,853,No,17,68
RXC,Riverside University Hospitals Trust,London,Urology,01/11/2024,6122,2403,No,15.3,261
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,ENT,01/10/2023,1946,872,No,17,31
RXF,Harborview Nhs Foundation Trust,South West,Gastroenterology,01/05/2024,5826,1660,No,14.7,260
RXH,Sherbourne Nhs Foundation Trust,North East,T&O,01/07/2024,775,199,No,15,35
RXB,Eastfield General Hospitals Trust,East Of England,Gastroenterology,01/04/2023,966,360,No,12.7,33
RXE,Vale Of Aldern Nhs Trust,West Midlands,Ophthalmology,01/03/2024,2813,1263,No,11.1,183
RXA,Northgate Nhs Foundation Trust,North West,T&O,01/07/2023,2815,1306,No,9.4,215
RXH,Sherbourne Nhs Foundation Trust,North East,Urology,01/06/2024,4010,721,No,16.9,83
RXH,Sherbourne Nhs Foundation Trust,North East,T&O,01/02/2024,1118,536,No,14.5,147
RXB,Eastfield General Hospitals Trust,East Of England,General Surgery,01/10/2023,1341,210,No,10.2,9
RXC,Riverside University Hospitals Trust,London,Gastroenterology,01/02/2023,3005,1304,No,12.8,108
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Dermatology,01/07/2024,2672,1098,No,13.5,18
RXD,Kingswood Nhs Foundation Trust,South East,Gastroenterology,01/06/2024,2513,497,No,17.7,0
RXB,Eastfield General Hospitals Trust,East Of England,Urology,01/07/2024,5010,1616,No,15.1,97
RXA,Northgate Nhs Foundation Trust,North West,ENT,01/05/2024,4462,1346,No,16.2,0
RXE,Vale Of Aldern Nhs Trust,West Midlands,ENT,01/04/2023,2689,691,No,10.4,72
RXF,Harborview Nhs Foundation Trust,South West,General Surgery,01/06/2023,5829,2537,No,12.5,248
RXA,Northgate Nhs Foundation Trust,North West,Urology,01/11/2023,756,259,No,13.5,0
RXD,Kingswood Nhs Foundation Trust,South East,Urology,01/09/2023,1950,605,No,15.5,62
RXB,Eastfield General Hospitals Trust,East Of England,T&O,01/01/2024,929,412,No,10.3,70
RXC,Riverside University Hospitals Trust,London,Gastroenterology,01/07/2024,2690,1089,No,20.7,302
RXA,Northgate Nhs Foundation Trust,North West,Ophthalmology,01/09/2023,4125,1155,No,15.2,137
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Cardiology,01/12/2024,2593,1310,No,18.7,0
RXB,Eastfield General Hospitals Trust,East Of England,Gastroenterology,01/03/2023,835,299,No,12.5,66
RXA,Northgate Nhs Foundation Trust,North West,Gastroenterology,01/07/2024,5651,2682,No,18,0
RXH,Sherbourne Nhs Foundation Trust,North East,General Surgery,01/07/2024,1007,370,No,13,37
RXB,Eastfield General Hospitals Trust,East Of England,Urology,01/01/2023,4998,2092,No,14.8,0
RXE,Vale Of Aldern Nhs Trust,West Midlands,Dermatology,01/02/2023,5069,1591,No,13.5,429
RXB,Eastfield General Hospitals Trust,East Of England,Urology,01/03/2024,5066,2032,No,14.2,139
RXH,Sherbourne Nhs Foundation Trust,North East,ENT,01/07/2023,5390,2522,No,13,605
RXB,Eastfield General Hospitals Trust,East Of England,Dermatology,01/04/2024,2745,1065,No,11.1,0
RXH,Sherbourne Nhs Foundation Trust,North East,Ophthalmology,01/07/2023,4728,1499,No,5.7,27
RXB,Eastfield General Hospitals Trust,East Of England,Ophthalmology,01/09/2024,2044,822,No,22,108
RXC,Riverside University Hospitals Trust,London,Ophthalmology,01/05/2024,2829,558,No,12.7,75
RXD,Kingswood Nhs Foundation Trust,South East,Ophthalmology,01/08/2024,1827,395,No,16.6,38
RXD,Kingswood Nhs Foundation Trust,South East,Dermatology,01/05/2024,2445,812,No,14.2,130
RXF,Harborview Nhs Foundation Trust,South West,T&O,01/01/2023,4598,733,No,16,34
RXB,Eastfield General Hospitals Trust,East Of England,General Surgery,01/06/2024,1620,655,No,16.3,121
RXE,Vale Of Aldern Nhs Trust,West Midlands,Dermatology,01/03/2023,5224,1991,No,12.6,287
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Ophthalmology,01/03/2023,5010,2316,No,13.2,476
RXA,Northgate Nhs Foundation Trust,North West,Cardiology,01/02/2023,5641,2829,No,13.1,392
RXB,Eastfield General Hospitals Trust,East Of England,Ophthalmology,01/08/2024,1952,592,No,10.6,55
RXF,Harborview Nhs Foundation Trust,South West,Gastroenterology,01/06/2023,5904,1388,No,9,169
RXH,Sherbourne Nhs Foundation Trust,North East,ENT,01/05/2024,5460,1164,No,7.2,62
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Gastroenterology,01/02/2024,2715,621,No,10.9,86
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,ENT,01/01/2024,1939,725,No,15.1,141
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Ophthalmology,01/11/2024,5597,2278,No,19.8,167
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,General Surgery,01/02/2023,2356,1156,No,11.8,105
RXE,Vale Of Aldern Nhs Trust,West Midlands,Dermatology,01/06/2023,5099,1911,No,12.4,164
RXC,Riverside University Hospitals Trust,London,Gastroenterology,01/09/2024,3114,977,No,13.8,0
RXE,Vale Of Aldern Nhs Trust,West Midlands,Urology,01/09/2024,3475,1946,No,13,203
RXF,Harborview Nhs Foundation Trust,South West,Cardiology,01/10/2024,1963,836,No,15.9,140
RXC,Riverside University Hospitals Trust,London,T&O,01/05/2024,4733,2006,No,13.6,314
RXD,Kingswood Nhs Foundation Trust,South East,Cardiology,01/04/2023,2474,857,No,14.9,126
RXD,Kingswood Nhs Foundation Trust,South East,Urology,01/08/2023,1851,431,No,11.3,0
RXH,Sherbourne Nhs Foundation Trust,North East,Ophthalmology,01/04/2023,4117,860,No,14.3,121
RXB,Eastfield General Hospitals Trust,East Of England,Urology,01/02/2023,4964,1892,No,12.4,263
RXD,Kingswood Nhs Foundation Trust,South East,T&O,01/04/2024,5281,1735,No,8,204
RXH,Sherbourne Nhs Foundation Trust,North East,General Surgery,01/02/2024,898,393,No,7.2,60
RXE,Vale Of Aldern Nhs Trust,West Midlands,Gastroenterology,01/02/2023,4168,1351,No,12.7,131
RXB,Eastfield General Hospitals Trust,East Of England,Dermatology,01/12/2024,2664,879,No,13.3,85
RXA,Northgate Nhs Foundation Trust,North West,Dermatology,01/01/2024,2586,760,No,15.2,159
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,T&O,01/02/2023,4402,1010,No,8.5,64
RXB,Eastfield General Hospitals Trust,East Of England,Gastroenterology,01/06/2024,861,293,No,14.6,33
RXA,Northgate Nhs Foundation Trust,North West,Ophthalmology,01/01/2023,3775,1680,No,10.9,348
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Gastroenterology,01/10/2023,2672,631,No,16.8,65
RXA,Northgate Nhs Foundation Trust,North West,Dermatology,01/12/2024,2631,943,No,15.3,59
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Cardiology,01/04/2023,2828,848,No,8.8,96
RXD,Kingswood Nhs Foundation Trust,South East,Dermatology,01/12/2023,2457,347,No,25.4,77
RXE,Vale Of Aldern Nhs Trust,West Midlands,Ophthalmology,01/06/2023,2377,976,No,10.4,147
RXE,Vale Of Aldern Nhs Trust,West Midlands,Cardiology,01/09/2024,4432,942,No,17.7,132
RXB,Eastfield General Hospitals Trust,East Of England,Urology,01/09/2024,4958,1497,No,9.2,243
RXH,Sherbourne Nhs Foundation Trust,North East,ENT,01/06/2024,5518,1900,No,15.6,184
RXB,Eastfield General Hospitals Trust,East Of England,Cardiology,01/02/2023,1258,455,No,10.9,69
RXB,Eastfield General Hospitals Trust,East Of England,Dermatology,01/03/2023,2541,797,No,13.1,74
RXC,Riverside University Hospitals Trust,London,Cardiology,01/11/2023,6392,2619,No,12.1,180
RXC,Riverside University Hospitals Trust,London,Ophthalmology,01/11/2024,2999,1174,No,14.3,245
RXE,Vale Of Aldern Nhs Trust,West Midlands,T&O,01/09/2023,5727,2074,No,13.7,363
RXC,Riverside University Hospitals Trust,London,Ophthalmology,01/03/2023,2720,965,No,11,106
RXC,Riverside University Hospitals Trust,London,Urology,01/05/2024,6338,2721,No,4.2,290
RXB,Eastfield General Hospitals Trust,East Of England,Dermatology,01/11/2024,2670,852,No,18.9,154
RXB,Eastfield General Hospitals Trust,East Of England,General Surgery,01/05/2024,2005,533,No,17.2,69
RXF,Harborview Nhs Foundation Trust,South West,T&O,01/08/2023,4718,1149,No,9.2,90
RXC,Riverside University Hospitals Trust,London,General Surgery,01/12/2024,4917,1865,No,17.1,215
RXF,Harborview Nhs Foundation Trust,South West,Dermatology,01/12/2023,3029,739,No,15.2,116
RXE,Vale Of Aldern Nhs Trust,West Midlands,Cardiology,01/01/2024,4030,1910,No,11,183
RXD,Kingswood Nhs Foundation Trust,South East,Cardiology,01/02/2024,2508,857,No,8.6,60
RXH,Sherbourne Nhs Foundation Trust,North East,Urology,01/09/2023,4118,1903,No,12.4,272
RXA,Northgate Nhs Foundation Trust,North West,Gastroenterology,01/11/2023,6022,1330,No,13.7,56
RXD,Kingswood Nhs Foundation Trust,South East,Cardiology,01/08/2023,2602,597,No,11.1,34
RXA,Northgate Nhs Foundation Trust,North West,Urology,01/08/2023,779,320,No,17.9,15
RXA,Northgate Nhs Foundation Trust,North West,General Surgery,01/08/2023,1548,629,No,9.6,48
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,General Surgery,01/06/2024,2582,907,No,16.9,55
RXH,Sherbourne Nhs Foundation Trust,North East,T&O,01/09/2024,1386,353,No,11.6,49
RXE,Vale Of Aldern Nhs Trust,West Midlands,Dermatology,01/02/2024,5008,2208,No,13.3,215
RXA,Northgate Nhs Foundation Trust,North West,Gastroenterology,01/09/2023,5869,1060,No,16.5,224
RXF,Harborview Nhs Foundation Trust,South West,ENT,01/04/2023,5039,1659,No,10.6,159
RXB,Eastfield General Hospitals Trust,East Of England,ENT,01/11/2023,5220,2390,No,12.1,281
RXD,Kingswood Nhs Foundation Trust,South East,Urology,01/05/2024,1991,734,No,6.3,41
RXD,Kingswood Nhs Foundation Trust,South East,Urology,01/06/2023,1785,468,No,13.6,24
RXC,Riverside University Hospitals Trust,London,ENT,01/05/2024,3442,1662,No,18.9,331
RXB,Eastfield General Hospitals Trust,East Of England,T&O,01/11/2024,950,338,No,11.9,24
RXB,Eastfield General Hospitals Trust,East Of England,Gastroenterology,01/12/2024,924,347,No,14.2,12
RXA,Northgate Nhs Foundation Trust,North West,Ophthalmology,01/07/2023,3933,2128,No,11.1,391
RXB,Eastfield General Hospitals Trust,East Of England,T&O,01/12/2023,1166,368,No,14.4,78
RXD,Kingswood Nhs Foundation Trust,South East,ENT,01/10/2023,5817,2529,No,13.5,0
RXD,Kingswood Nhs Foundation Trust,South East,General Surgery,01/09/2024,6123,1351,No,19.1,218
RXA,Northgate Nhs Foundation Trust,North West,Cardiology,01/09/2024,5958,1506,No,17.9,187
RXB,Eastfield General Hospitals Trust,East Of England,Dermatology,01/12/2023,2333,651,No,8.4,111
RXA,Northgate Nhs Foundation Trust,North West,Gastroenterology,01/03/2023,5809,1583,No,17.9,71
RXC,Riverside University Hospitals Trust,London,ENT,01/08/2023,3502,1055,No,13.4,175
RXH,Sherbourne Nhs Foundation Trust,North East,Dermatology,01/01/2024,3294,1218,No,15.1,226
RXD,Kingswood Nhs Foundation Trust,South East,General Surgery,01/03/2023,5756,1924,No,16,167
RXA,Northgate Nhs Foundation Trust,North West,Urology,01/06/2023,942,327,No,9.8,45
RXH,Sherbourne Nhs Foundation Trust,North East,T&O,01/08/2023,871,253,No,15.7,15
RXE,Vale Of Aldern Nhs Trust,West Midlands,General Surgery,01/11/2023,2778,1102,No,10.1,269
RXA,Northgate Nhs Foundation Trust,North West,T&O,01/11/2024,3019,733,No,12.7,109
RXD,Kingswood Nhs Foundation Trust,South East,Dermatology,01/08/2024,2302,1168,No,15.5,209
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Urology,01/03/2023,2635,929,No,14.6,71
RXE,Vale Of Aldern Nhs Trust,West Midlands,Urology,01/06/2024,3265,1308,No,11.7,192
RXA,Northgate Nhs Foundation Trust,North West,Gastroenterology,01/04/2023,5499,2284,No,16.9,266
RXC,Riverside University Hospitals Trust,London,T&O,01/07/2023,4523,1174,No,12.8,163
RXA,Northgate Nhs Foundation Trust,North West,Gastroenterology,01/10/2023,5856,1456,No,12.1,30
RXH,Sherbourne Nhs Foundation Trust,North East,T&O,01/11/2023,1132,271,No,12,12
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Cardiology,01/02/2023,2819,779,No,12.3,92
RXC,Riverside University Hospitals Trust,London,T&O,01/08/2024,4711,2025,No,13.9,46
RXA,Northgate Nhs Foundation Trust,North West,Gastroenterology,01/09/2024,5920,2625,No,20.3,515
RXD,Kingswood Nhs Foundation Trust,South East,Cardiology,01/03/2023,2521,1108,No,9.9,90
RXE,Vale Of Aldern Nhs Trust,West Midlands,Dermatology,01/03/2024,5197,2317,No,11,325
RXF,Harborview Nhs Foundation Trust,South West,T&O,01/02/2024,4470,1097,No,11.6,156
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Dermatology,01/01/2024,2925,1670,No,11.2,239
RXH,Sherbourne Nhs Foundation Trust,North East,Dermatology,01/02/2024,3378,1918,No,11.4,252
RXF,Harborview Nhs Foundation Trust,South West,ENT,01/10/2024,4884,2311,No,17.7,324
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Gastroenterology,01/05/2024,2589,1267,No,11.4,155
RXC,Riverside University Hospitals Trust,London,General Surgery,01/03/2023,4482,1706,No,9.1,191
RXB,Eastfield General Hospitals Trust,East Of England,T&O,01/08/2024,1107,487,No,14.6,95
RXA,Northgate Nhs Foundation Trust,North West,Dermatology,01/03/2023,2508,522,No,14,81
RXA,Northgate Nhs Foundation Trust,North West,Ophthalmology,01/12/2024,4317,1658,No,12.2,190
RXA,Northgate Nhs Foundation Trust,North West,T&O,01/10/2024,2920,944,No,19.5,267
RXB,Eastfield General Hospitals Trust,East Of England,Urology,01/11/2024,4862,2222,No,17.7,169
RXE,Vale Of Aldern Nhs Trust,West Midlands,Dermatology,01/12/2023,5066,2711,No,15.7,279
RXA,Northgate Nhs Foundation Trust,North West,Urology,01/11/2024,627,299,No,15.4,48
RXE,Vale Of Aldern Nhs Trust,West Midlands,Ophthalmology,01/12/2023,2642,1064,No,19.1,131
RXE,Vale Of Aldern Nhs Trust,West Midlands,Dermatology,01/09/2023,5316,2282,No,14.5,215
RXD,Kingswood Nhs Foundation Trust,South East,General Surgery,01/02/2023,5833,1729,No,16.8,30
RXE,Vale Of Aldern Nhs Trust,West Midlands,T&O,01/08/2024,5901,2021,No,14.7,222
RXD,Kingswood Nhs Foundation Trust,South East,Urology,01/12/2023,1966,793,No,16.6,134
RXB,Eastfield General Hospitals Trust,East Of England,ENT,01/04/2024,5048,2346,No,5.7,36
RXA,Northgate Nhs Foundation Trust,North West,Ophthalmology,01/08/2024,3985,1331,No,17.2,51
RXF,Harborview Nhs Foundation Trust,South West,ENT,01/09/2024,4775,1826,No,9.9,205
RXE,Vale Of Aldern Nhs Trust,West Midlands,T&O,01/01/2024,5923,2233,No,7.8,409
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Ophthalmology,01/07/2023,5288,1899,No,11.7,330
RXD,Kingswood Nhs Foundation Trust,South East,T&O,01/01/2023,5004,1615,No,8.6,280
RXB,Eastfield General Hospitals Trust,East Of England,Urology,01/11/2023,4807,1260,No,12.6,210
RXH,Sherbourne Nhs Foundation Trust,North East,Cardiology,01/03/2024,5425,1880,No,14.9,51
RXH,Sherbourne Nhs Foundation Trust,North East,Dermatology,01/08/2024,3447,1535,No,17.3,296
RXD,Kingswood Nhs Foundation Trust,South East,Gastroenterology,01/08/2023,2500,1190,No,13.4,82
RXC,Riverside University Hospitals Trust,London,T&O,01/04/2024,4686,1972,No,14.8,185
RXB,Eastfield General Hospitals Trust,East Of England,Gastroenterology,01/12/2023,976,283,No,13,12
RXE,Vale Of Aldern Nhs Trust,West Midlands,Dermatology,01/11/2024,5191,2247,No,13.6,391
RXC,Riverside University Hospitals Trust,London,T&O,01/02/2024,4578,2109,No,11,237
RXH,Sherbourne Nhs Foundation Trust,North East,Urology,01/04/2024,3695,892,No,11.5,90
RXD,Kingswood Nhs Foundation Trust,South East,ENT,01/02/2024,5925,2459,No,17.8,127
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,General Surgery,01/10/2023,2230,476,No,13.5,77
RXE,Vale Of Aldern Nhs Trust,West Midlands,General Surgery,01/11/2024,2835,1115,No,12.3,159
RXE,Vale Of Aldern Nhs Trust,West Midlands,Cardiology,01/04/2024,4229,1131,No,13.6,86
RXD,Kingswood Nhs Foundation Trust,South East,T&O,01/07/2023,5279,2093,No,4.8,419
RXH,Sherbourne Nhs Foundation Trust,North East,Cardiology,01/03/2023,5345,1816,No,13.7,323
