Trust_Code,Trust_Name,Region,Specialty,Reporting_Month,Patients_Waiting,Median_Wait_Weeks,Number_Waiting_Over_18_Weeks,Number_Waiting_Over_52_Weeks,RTT_18wk_Standard_Met
RXC,Riverside University Hospitals Trust,London,Urology,2024-02,6033,16.8,1889,174,No
RXD,Kingswood NHS Foundation Trust,South East,trauma & orthopaedics,2024-05,5311,8.9,2705,220,No
RXH,Sherbourne NHS Foundation Trust,North East,Urology,01/01/2023,4097,14.6,1233,102,No
RXB,Eastfield General Hospitals Trust,East of England,Derm,2023-10,2193,8.7,475,64,No
RXB,Eastfield General Hospitals Trust,,ENT,Sep-23,5041,15.1,1520,325,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,General Surgery,01/07/2023,"2,307",3.4,856,77,No
RXF,Harborview NHS Foundation Trust,South West,Trauma & Orthopaedics,2023-06,4863,12.9,1146,206,No
RXA,Northgate NHS Foundation Trust,North West,Urology,2024-01,988,11.1,416,16,No
RXD,Kingswood NHS Foundation Trust,South East,Derm,Aug-23,2456,,309,0,No
RXE,Vale of Aldern NHS Trust,West Midlands,Opthalmology,2023-04,2342,10.6,765,91,No
RXE,Vale of Aldern NHS Trust,West Midlands,Ophthalmology,2024-10,2337,12.1,1032,189,No
RXC,Riverside University Hospitals Trust,London,urology ,2023-11,6119,13.1,1575,220,No
RXD,KINGSWOOD NHS FOUNDATION TRUST,South East,general surgery,2024-08,5844,17.3,1790,42,No
RXA,Northgate NHS Foundation Trust,North West,Urology,2024-07,838,13.9,324,18,No
RXC,Riverside University Hospitals Trust,London,gastroenterology,2024-10,2954,11.2,871,50,No
RXF,Harborview NHS Foundation Trust,South West,General Surgery ,01/01/2024,5524,14.8,2738,82,No
RXH,Sherbourne NHS Foundation Trust,North East,General Surgery ,2023-07,657,13.2,215,39,No
RXC,Riverside University Hospitals Trust,London,ENT,01/11/2023,3422,16.5,1175,99,No
RXE,Vale of Aldern NHS Trust,West Midlands, Cardiology,2023-06,4015,8.9,1498,111,No
RXF,Harborview NHS Foundation Trust,South West,cardiology,2023-08,2260,11.1,383,57,No
RXA,Northgate NHS Foundation Trust,North West,Gastroenterology,2024-11,5941,17.4,1936,188,No
RXH,Sherbourne NHS Foundation Trust,North East,dermatology,2023-06,3581,13.9,1822,156,No
RXA,Northgate NHS Foundation Trust,North West,Ophthalmology,Mar-24,4305,16.4,1718,215,No
RXC,Riverside University Hospitals Trust,London,General Surgery,01/06/2023,4426,14.4,1444,272,No
RXF,HARBORVIEW NHS FOUNDATION TRUST,South West,dermatology,2024-03,2865,17,1185,174,No
RXF,Harborview NHS Foundation Trust,South West,Opthalmology,2023-05,2753,16.7,795,119,No
RXF,Harborview NHS Foundation Trust,South West,Gen Surgery,Dec-23,5635,11.5,3372,658,No
RXG, Meadowbrook University Hospitals Trust ,Yorkshire and the Humber,cardiology,2023-03,2933,12.8,1210,125,No
RXD,Kingswood NHS Foundation Trust,South East,Urology,01/06/2024,2228,13.7,989,184,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,dermatology,01/03/2024,3079,13.2,1069,221,No
RXA,Northgate NHS Foundation Trust,North West,Dermatology,01/04/2023,2088,12.4,601,26,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Trauma and Orthopaedics,2023-12,4214,10.8,1022,159,No
RXB,Eastfield General Hospitals Trust,East of England,E.N.T.,2023-04,5328,10.4,2789,367,No
RXE,Vale of Aldern NHS Trust,West Midlands,gastroenterology,2024-10,4213,15.2,2477,321,No
RXF,Harborview NHS Foundation Trust,South West,gastroenterology,Aug-24,6208,16.9,1674,94,No
RXF,Harborview NHS Foundation Trust,South West,Gastro,2024-10,"6,291",13,1518,182,No
RXB,Eastfield General Hospitals Trust,East of England,Trauma and Orthopaedics,2024-04,1324,,531,55,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Trauma & Orthopaedics,2024-05,4246,12,1832,218,No
RXF,Harborview NHS Foundation Trust,South West,T&O,01/04/2024,4717,14.6,1476,35,No
RXF,Harborview NHS Foundation Trust,South West,T&O,01/05/2023,4707,15.8,787,101,No
RXE,Vale of Aldern NHS Trust,West Midlands, Cardiology,01/10/2024,3970,15.3,2142,135,No
RXH,Sherbourne NHS Foundation Trust,North East,Dermatology ,01/07/2023,3166,,1245,119,No
RXH,Sherbourne NHS Foundation Trust,North East,Gastroenterology ,01/07/2023,1867,14.8,587,69,No
RXH,Sherbourne NHS Foundation Trust,North East,Trauma & Orthopaedics,01/08/2024,1042,15.2,364,68,No
RXB,Eastfield General Hospitals Trust,East of England,ENT,2024-11,4845,14.7,1661,195,No
RXA, Northgate NHS Foundation Trust ,North West,Ear Nose and Throat,2023-10,4180,14.9,1299,190,No
RXB,Eastfield General Hospitals Trust,East of England,ent,2023-10,"4,791",9,1784,326,No
RXA,Northgate NHS Foundation Trust,North West,Trauma and Orthopaedics,01/05/2023,2845,12.4,449,53,No
RXD,Kingswood NHS Foundation Trust,South East,Derm,2023-02,2641,10.6,734,77,No
RXA,Northgate NHS Foundation Trust,North West,general surgery,2024-08,1307,14,449,79,No
RXH,Sherbourne NHS Foundation Trust,North East,T&O,2023-03,1079,12,342,41,No
RXD,Kingswood NHS Foundation Trust,South East,Ophthalmology,2024-11,1812,16.1,713,91,No
RXC,Riverside University Hospitals Trust,London,Cardiology,Jun-23,6367,15.1,3326,533,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Dermatology ,01/12/2024,"3,052",16.6,1225,119,No
RXC,Riverside University Hospitals Trust,London,Cardiology,2023-08,6166,10.8,1478,233,No
RXC,Riverside University Hospitals Trust,London,Cardiology,2024-09,6519,15.3,2582,449,No
RXB,Eastfield General Hospitals Trust,East of England,general surgery,2024-08,1853,12,492,58,No
RXH,Sherbourne NHS Foundation Trust,North East,Gastroenterology ,2024-12,2117,15.5,429,34,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Trauma & Orthopaedics,2024-07,4078,9.1,1087,38,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Cardiology,01/03/2024,2844,18.4,1161,107,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,E.N.T.,Mar-24,2002,17.3,690,103,No
RXH,Sherbourne NHS Foundation Trust,North East,Ophthalmology,Mar-24,4474,11.6,2386,371,No
RXC,Riverside University Hospitals Trust,London,Derm,2023-01,3237,11.8,1544,243,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,cardiology,2023-10,2899,13.3,657,4,No
RXD,Kingswood NHS Foundation Trust,South East,cardiology,Jun-24,2516,17.1,868,30,No
RXA,Northgate NHS Foundation Trust,North West,Ear Nose and Throat,2023-04,3888,8.9,1535,348,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Dermatology ,Nov-24,2801,18.2,1081,25,No
RXD,Kingswood NHS Foundation Trust,South East,T&O,2024-03,5395,7.6,2041,271,No
RXD,Kingswood NHS Foundation Trust,South East,General Surgery ,2024-05,5645,15.9,2298,267,No
RXA,Northgate NHS Foundation Trust,North West,E.N.T.,Nov-23,4461,11.3,1513,137,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,general surgery,Nov-24,2164,14.8,699,67,No
RXB,Eastfield General Hospitals Trust,East of England,Gastroenterology ,2024-09,486,15.2,258,40,No
RXF,Harborview NHS Foundation Trust,South West,general surgery,01/02/2024,5714,,1271,181,No
RXA,Northgate NHS Foundation Trust,North West,ent,01/01/2023,3937,10.6,1138,81,No
RXF,Harborview NHS Foundation Trust,South West,Dermatology,Jan-24,2653,12.8,1030,73,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Dermatology,May-24,2864,16.4,887,149,No
RXA,Northgate NHS Foundation Trust,North West,Trauma & Orthopaedics,2024-07,"3,043",15.9,1315,307,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Urology,Oct-23,2708,14,1417,175,No
RXE,Vale of Aldern NHS Trust,West Midlands,ENT,2023-07,3401,11.3,579,121,No
RXH,Sherbourne NHS Foundation Trust,North East,Trauma and Orthopaedics,2024-12,744,12.5,230,16,No
RXH,Sherbourne NHS Foundation Trust,North East,general surgery,01/11/2024,1369,14.7,436,2,No
RXE,Vale of Aldern NHS Trust,West Midlands,T&O,2024-03,5991,11.1,2564,211,No
RXH,Sherbourne NHS Foundation Trust,North East,Derm,Sep-24,3657,13.9,1320,125,No
RXA,Northgate NHS Foundation Trust,North West,Dermatology ,Jul-23,2441,18.2,1157,132,No
RXD,Kingswood NHS Foundation Trust,South East,dermatology,2024-09,2442,13.6,637,112,No
RXE,Vale of Aldern NHS Trust,West Midlands,Dermatology ,2023-10,5174,16.3,1178,261,No
RXD,Kingswood NHS Foundation Trust,South East,trauma & orthopaedics,Nov-23,5517,12.8,2962,2,No
RXH,Sherbourne NHS Foundation Trust,North East,Gastro,May-24,2181,16.8,816,102,No
RXC,Riverside University Hospitals Trust,London,Opthalmology,01/04/2024,3130,17.6,955,41,No
RXB,Eastfield General Hospitals Trust,East of England,Gastroenterology ,May-24,958,16.6,235,35,No
RXB,EASTFIELD GENERAL HOSPITALS TRUST,East of England,Dermatology,Jan-23,2495,17.7,879,0,No
RXE,Vale of Aldern NHS Trust,West Midlands,Dermatology,01/08/2023,5102,,1903,153,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Ophthalmology,2023-05,5008,15.3,1608,336,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Dermatology,2024-02,2955,13.1,798,103,No
RXH, Sherbourne NHS Foundation Trust ,North East,Dermatology ,2023-08,3369,14,842,127,No
RXB,Eastfield General Hospitals Trust,,Cardiology,2024-02,1217,9.3,466,79,No
RXH,SHERBOURNE NHS FOUNDATION TRUST,North East,ophthalmology ,2024-07,4689,11.4,958,222,No
RXA, Northgate NHS Foundation Trust ,North West, Cardiology,2024-12,5894,14.4,2191,382,No
RXB,EASTFIELD GENERAL HOSPITALS TRUST,East of England,Opthalmology,2024-12,1919,17,853,68,No
RXC,Riverside University Hospitals Trust,London,urology ,Nov-24,6122,15.3,2403,261,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Ear Nose and Throat,Oct-23,1946,17,872,31,No
RXF,Harborview NHS Foundation Trust,South West,Gastroenterology ,2024-05,5826,14.7,1660,260,No
RXH,Sherbourne NHS Foundation Trust,North East,T&O,2024-07,775,15,199,35,No
RXB,Eastfield General Hospitals Trust,East of England,Gastroenterology ,2023-04,966,12.7,360,33,No
RXE,Vale of Aldern NHS Trust,West Midlands,Ophthalmology,01/03/2024,2813,11.1,1263,183,No
RXA,Northgate NHS Foundation Trust,North West,Trauma and Orthopaedics,2023-07,2815,9.4,1306,-215,No
RXH,Sherbourne NHS Foundation Trust,North East,Urology,2024-06,4010,16.9,721,83,No
RXH,SHERBOURNE NHS FOUNDATION TRUST,North East,Trauma & Orthopaedics,2024-02,1118,14.5,536,147,No
RXB,Eastfield General Hospitals Trust,East of England,Gen Surgery,2023-10,1341,10.2,210,9,No
RXC, Riverside University Hospitals Trust ,London,Gastro,2023-02,3005,12.8,1304,108,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Dermatology,2024-07,2672,13.5,1098,18,No
RXD,Kingswood NHS Foundation Trust,South East,Gastroenterology,Jun-24,2513,17.7,497,0,No
RXB,Eastfield General Hospitals Trust,East of England,Urology,2024-07,5010,15.1,1616,97,No
RXA,Northgate NHS Foundation Trust,North West,E.N.T.,01/05/2024,4462,16.2,1346,0,No
RXE,Vale of Aldern NHS Trust,West Midlands,Ear Nose and Throat,Apr-23,2689,10.4,691,72,No
RXF,Harborview NHS Foundation Trust,South West,General Surgery ,01/06/2023,5829,12.5,2537,248,No
RXA,Northgate NHS Foundation Trust,North West,Urology,2023-11,756,13.5,259,0,No
RXD,Kingswood NHS Foundation Trust,South East,Urology,2023-09,1950,15.5,605,62,No
RXB,Eastfield General Hospitals Trust,East of England,Trauma & Orthopaedics,2024-01,929,10.3,412,70,No
RXC,Riverside University Hospitals Trust,London,gastroenterology,01/07/2024,2690,20.7,1089,302,No
RXA,Northgate NHS Foundation Trust,North West,Ophthalmology,2023-09,4125,15.2,1155,137,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Cardiology,Dec-24,2593,18.7,1310,0,No
RXB,Eastfield General Hospitals Trust,East of England,Gastro,2023-03,835,12.5,299,66,No
RXA,Northgate NHS Foundation Trust,North West,Gastro,Jul-24,5651,18,2682,0,No
RXH,Sherbourne NHS Foundation Trust,North East,General Surgery,01/07/2024,1007,,370,37,No
RXB,Eastfield General Hospitals Trust,East of England,Urology,Jan-23,4998,14.8,2092,0,No
RXE,Vale of Aldern NHS Trust,West Midlands,Derm,2023-02,5069,13.5,1591,429,No
RXB,Eastfield General Hospitals Trust,East of England,Urology,2024-03,5066,14.2,2032,139,No
RXH,Sherbourne NHS Foundation Trust,North East,ent,2023-07,5390,13,2522,605,No
RXB,Eastfield General Hospitals Trust,East of England,Dermatology ,2024-04,2745,11.1,1065,0,No
RXH, Sherbourne NHS Foundation Trust ,North East,ophthalmology ,2023-07,4728,5.7,1499,27,No
RXB,Eastfield General Hospitals Trust,East of England,Ophthalmology,01/09/2024,"2,044",22,822,108,No
RXC,Riverside University Hospitals Trust,London,ophthalmology ,01/05/2024,2829,12.7,558,75,No
RXD,Kingswood NHS Foundation Trust,South East,Ophthalmology,2024-08,1827,16.6,395,38,No
RXD,Kingswood NHS Foundation Trust,South East,Dermatology ,2024-05,2445,,812,130,No
RXF,Harborview NHS Foundation Trust,South West,trauma & orthopaedics,Jan-23,4598,16,733,34,No
RXB,Eastfield General Hospitals Trust,East of England,General Surgery,Jun-24,1620,16.3,655,121,No
RXE,Vale of Aldern NHS Trust,West Midlands,Derm,01/03/2023,5224,12.6,1991,287,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Ophthalmology,2023-03,5010,13.2,2316,476,No
RXA,Northgate NHS Foundation Trust,North West,Cardiology,Feb-23,5641,13.1,2829,392,No
RXB,Eastfield General Hospitals Trust,East of England,Ophthalmology,2024-08,1952,10.6,592,55,No
RXF,Harborview NHS Foundation Trust,South West,Gastro,2023-06,5904,9,1388,169,No
RXH,Sherbourne NHS Foundation Trust,North East,Ear Nose and Throat,May-24,5460,7.2,1164,62,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Gastroenterology ,2024-02,2715,10.9,621,86,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,ENT,2024-01,1939,15.1,725,141,No
RXG,Meadowbrook University Hospitals Trust,,ophthalmology ,01/11/2024,5597,19.8,2278,167,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,General Surgery,2023-02,2356,11.8,1156,105,No
RXE,Vale of Aldern NHS Trust,West Midlands,dermatology,Jun-23,5099,12.4,1911,164,No
RXC,Riverside University Hospitals Trust,London,Gastroenterology,2024-09,3114,13.8,977,0,No
RXE,Vale of Aldern NHS Trust,West Midlands,Urology,2024-09,3475,13,1946,203,No
RXF,Harborview NHS Foundation Trust,South West, Cardiology,2024-10,1963,15.9,836,140,No
RXC,Riverside University Hospitals Trust,London,T&O,2024-05,4733,13.6,2006,314,No
RXD,Kingswood NHS Foundation Trust,South East,cardiology,Apr-23,2474,14.9,857,126,No
RXD,Kingswood NHS Foundation Trust,South East,urology ,Aug-23,1851,11.3,431,0,No
RXH,Sherbourne NHS Foundation Trust,North East,Ophthalmology,01/04/2023,4117,14.3,860,121,No
RXB,Eastfield General Hospitals Trust,East of England,Urology,2023-02,4964,12.4,1892,263,No
RXD,Kingswood NHS Foundation Trust,South East,T&O,Apr-24,5281,8,1735,204,No
RXH,Sherbourne NHS Foundation Trust,North East,general surgery,Feb-24,898,7.2,393,60,No
RXE,Vale of Aldern NHS Trust,West Midlands,Gastroenterology ,Feb-23,4168,12.7,1351,131,No
RXB,Eastfield General Hospitals Trust,East of England,Derm,2024-12,2664,13.3,879,85,No
RXA,Northgate NHS Foundation Trust,North West,Dermatology ,2024-01,2586,15.2,760,159,No
RXG,MEADOWBROOK UNIVERSITY HOSPITALS TRUST,Yorkshire and the Humber,T&O,01/02/2023,4402,8.5,1010,64,No
RXB,Eastfield General Hospitals Trust,East of England,Gastroenterology,2024-06,861,14.6,293,33,No
RXA,Northgate NHS Foundation Trust,North West,Ophthalmology,2023-01,3775,10.9,1680,348,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Gastro,2023-10,2672,16.8,631,65,No
RXA,Northgate NHS Foundation Trust,North West,dermatology,2024-12,2631,15.3,943,59,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Cardiology,2023-04,2828,8.8,848,96,No
RXD,Kingswood NHS Foundation Trust,South East,Dermatology ,01/12/2023,2457,25.4,347,77,No
RXE,Vale of Aldern NHS Trust,West Midlands,ophthalmology ,2023-06,2377,10.4,976,147,No
RXE,Vale of Aldern NHS Trust,West Midlands,Cardiology,01/09/2024,4432,17.7,942,132,No
RXB, Eastfield General Hospitals Trust ,East of England,Urology,Sep-24,4958,9.2,1497,243,No
RXH,Sherbourne NHS Foundation Trust,North East,ENT,2024-06,5518,15.6,1900,184,No
RXB,Eastfield General Hospitals Trust,East of England,cardiology,01/02/2023,1258,10.9,455,69,No
RXB,Eastfield General Hospitals Trust,East of England,Dermatology ,Mar-23,2541,13.1,797,74,No
RXC,Riverside University Hospitals Trust,London, Cardiology,2023-11,6392,12.1,2619,180,No
RXC,Riverside University Hospitals Trust,London,Ophthalmology,2024-11,"2,999",14.3,1174,245,No
RXE,Vale of Aldern NHS Trust,West Midlands,Trauma and Orthopaedics,Sep-23,5727,13.7,2074,363,No
RXC,RIVERSIDE UNIVERSITY HOSPITALS TRUST,London,Ophthalmology,01/03/2023,2720,11,965,106,No
RXC,Riverside University Hospitals Trust,London,Urology,May-24,6338,4.2,2721,290,No
RXB,Eastfield General Hospitals Trust,East of England,Dermatology,2024-11,2670,18.9,852,154,No
RXB,EASTFIELD GENERAL HOSPITALS TRUST,East of England,general surgery,2024-05,2005,17.2,533,69,No
RXF,Harborview NHS Foundation Trust,South West,trauma & orthopaedics,2023-08,4718,9.2,1149,90,No
RXC,Riverside University Hospitals Trust,London,general surgery,2024-12,4917,17.1,1865,215,No
RXF,Harborview NHS Foundation Trust,South West,Dermatology ,Dec-23,3029,15.2,739,116,No
RXE,Vale of Aldern NHS Trust,West Midlands,Cardiology,2024-01,4030,11,1910,183,No
RXD,Kingswood NHS Foundation Trust,South East,Cardiology,01/02/2024,2508,8.6,857,60,No
RXH,Sherbourne NHS Foundation Trust,North East,Urology,2023-09,"4,118",,1903,272,No
RXA,Northgate NHS Foundation Trust,North West,Gastroenterology,Nov-23,6022,13.7,1330,56,No
RXD, Kingswood NHS Foundation Trust ,South East,cardiology,Aug-23,2602,11.1,597,34,No
RXA,Northgate NHS Foundation Trust,North West,urology ,Aug-23,779,17.9,320,15,No
RXA,Northgate NHS Foundation Trust,North West,General Surgery ,Aug-23,1548,9.6,629,48,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,General Surgery ,2024-06,2582,16.9,907,55,No
RXH,Sherbourne NHS Foundation Trust,North East,trauma & orthopaedics,2024-09,1386,11.6,353,49,No
RXE,Vale of Aldern NHS Trust,West Midlands,Dermatology,2024-02,5008,13.3,2208,215,No
RXA,Northgate NHS Foundation Trust,North West,Gastroenterology,2023-09,5869,16.5,1060,224,No
RXF,Harborview NHS Foundation Trust,South West,Ear Nose and Throat,Apr-23,5039,10.6,1659,159,No
RXB,Eastfield General Hospitals Trust,East of England,ent,01/11/2023,5220,12.1,2390,281,No
RXD,Kingswood NHS Foundation Trust,South East,Urology,May-24,1991,6.3,734,41,No
RXD,Kingswood NHS Foundation Trust,South East,Urology,2023-06,1785,13.6,468,24,No
RXC,Riverside University Hospitals Trust,London,Ear Nose and Throat,May-24,3442,18.9,1662,331,No
RXB,Eastfield General Hospitals Trust,East of England,trauma & orthopaedics,2024-11,950,11.9,338,24,No
RXB,Eastfield General Hospitals Trust,East of England,gastroenterology,Dec-24,924,14.2,347,12,No
RXA,Northgate NHS Foundation Trust,North West,Ophthalmology,Jul-23,3933,11.1,2128,391,No
RXB,Eastfield General Hospitals Trust,East of England,T&O,2023-12,1166,14.4,368,78,No
RXD,Kingswood NHS Foundation Trust,South East,Ear Nose and Throat,2023-10,5817,13.5,2529,0,No
RXD,Kingswood NHS Foundation Trust,South East,General Surgery ,Sep-24,6123,19.1,1351,218,No
RXA,Northgate NHS Foundation Trust,North West,Cardiology,2024-09,5958,17.9,1506,187,No
RXB,Eastfield General Hospitals Trust,East of England,Dermatology ,2023-12,2333,8.4,651,111,No
RXA,Northgate NHS Foundation Trust,North West,gastroenterology,Mar-23,5809,17.9,1583,71,No
RXC, Riverside University Hospitals Trust ,London,ent,2023-08,3502,13.4,1055,175,No
RXH,Sherbourne NHS Foundation Trust,North East,Dermatology,Jan-24,3294,15.1,1218,226,No
RXD,KINGSWOOD NHS FOUNDATION TRUST,South East,Gen Surgery,2023-03,5756,16,1924,167,No
RXA,Northgate NHS Foundation Trust,North West,Urology,2023-06,942,9.8,327,45,No
RXH,Sherbourne NHS Foundation Trust,North East,Trauma & Orthopaedics,01/08/2023,871,15.7,253,15,No
RXE,Vale of Aldern NHS Trust,West Midlands,general surgery,Nov-23,2778,10.1,1102,269,No
RXA,Northgate NHS Foundation Trust,North West,Trauma and Orthopaedics,2024-11,3019,12.7,733,109,No
RXD, Kingswood NHS Foundation Trust ,South East,Dermatology ,2024-08,2302,15.5,1168,209,No
RXG,MEADOWBROOK UNIVERSITY HOSPITALS TRUST,Yorkshire and the Humber,Urology,01/03/2023,"2,635",14.6,929,71,No
RXE,Vale of Aldern NHS Trust,West Midlands,Urology,2024-06,3265,11.7,1308,192,No
RXA,Northgate NHS Foundation Trust,North West,gastroenterology,2023-04,5499,16.9,2284,266,No
RXC,Riverside University Hospitals Trust,London,trauma & orthopaedics,01/07/2023,4523,12.8,1174,163,No
RXA,Northgate NHS Foundation Trust,North West,Gastro,2023-10,5856,12.1,1456,30,No
RXH,Sherbourne NHS Foundation Trust,North East,Trauma and Orthopaedics,2023-11,1132,12,271,12,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber, Cardiology,2023-02,2819,12.3,779,92,No
RXC,Riverside University Hospitals Trust,London,Trauma & Orthopaedics,01/08/2024,4711,13.9,2025,46,No
RXA,Northgate NHS Foundation Trust,North West,Gastro,2024-09,5920,20.3,2625,515,No
RXD,Kingswood NHS Foundation Trust,South East,Cardiology,2023-03,2521,9.9,1108,90,No
RXE,Vale of Aldern NHS Trust,West Midlands,dermatology,2024-03,5197,11,2317,325,No
RXF,Harborview NHS Foundation Trust,South West,T&O,2024-02,4470,11.6,1097,156,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Dermatology,2024-01,2925,11.2,1670,239,No
RXH,Sherbourne NHS Foundation Trust,North East,dermatology,Feb-24,3378,11.4,1918,252,No
RXF,Harborview NHS Foundation Trust,South West,E.N.T.,01/10/2024,4884,17.7,2311,324,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,gastroenterology,May-24,2589,11.4,1267,155,No
RXC,Riverside University Hospitals Trust,London,general surgery,Mar-23,4482,9.1,1706,191,No
RXB,Eastfield General Hospitals Trust,East of England,T&O,01/08/2024,1107,14.6,487,95,No
RXA,Northgate NHS Foundation Trust,North West,Derm,Mar-23,2508,,522,81,No
RXA,Northgate NHS Foundation Trust,North West,Opthalmology,2024-12,4317,12.2,1658,190,No
RXA,Northgate NHS Foundation Trust,North West,Trauma & Orthopaedics,2024-10,2920,19.5,944,267,No
RXB,Eastfield General Hospitals Trust,East of England,urology ,2024-11,4862,17.7,2222,169,No
RXE,Vale of Aldern NHS Trust,West Midlands,dermatology,2023-12,5066,15.7,2711,279,No
RXA,Northgate NHS Foundation Trust,North West,Urology,2024-11,627,15.4,299,48,No
RXE,Vale of Aldern NHS Trust,West Midlands,Ophthalmology,2023-12,2642,19.1,1064,131,No
RXE,Vale of Aldern NHS Trust,West Midlands,Derm,Sep-23,5316,,2282,215,No
RXD,Kingswood NHS Foundation Trust,South East,General Surgery,2023-02,5833,16.8,1729,30,No
RXE,Vale of Aldern NHS Trust,West Midlands,Trauma and Orthopaedics,2024-08,"5,901",14.7,2021,222,No
RXD,Kingswood NHS Foundation Trust,South East,urology ,01/12/2023,1966,16.6,793,134,No
RXB,Eastfield General Hospitals Trust,East of England,Ear Nose and Throat,01/04/2024,5048,5.7,2346,36,No
RXA,Northgate NHS Foundation Trust,North West,Opthalmology,2024-08,3985,17.2,1331,51,No
RXF,Harborview NHS Foundation Trust,South West,ENT,2024-09,4775,9.9,1826,205,No
RXE,Vale of Aldern NHS Trust,West Midlands,Trauma and Orthopaedics,2024-01,5923,7.8,2233,409,No
RXG,MEADOWBROOK UNIVERSITY HOSPITALS TRUST,Yorkshire and the Humber,Opthalmology,2023-07,5288,11.7,1899,-330,No
RXD,Kingswood NHS Foundation Trust,South East,T&O,2023-01,5004,8.6,1615,280,No
RXB,Eastfield General Hospitals Trust,East of England,Urology,2023-11,4807,12.6,1260,210,No
RXH,Sherbourne NHS Foundation Trust,North East, Cardiology,2024-03,5425,14.9,1880,51,No
RXH,Sherbourne NHS Foundation Trust,North East,Derm,01/08/2024,3447,17.3,1535,296,No
RXD,Kingswood NHS Foundation Trust,South East,Gastroenterology,01/08/2023,2500,13.4,1190,82,No
RXC,Riverside University Hospitals Trust,London,T&O,2024-04,4686,14.8,1972,185,No
RXB,Eastfield General Hospitals Trust,East of England,gastroenterology,2023-12,976,13,283,12,No
RXE,Vale of Aldern NHS Trust,West Midlands,Dermatology,2024-11,5191,13.6,2247,391,No
RXC,Riverside University Hospitals Trust,London,Trauma and Orthopaedics,2024-02,4578,11,2109,237,No
RXH,Sherbourne NHS Foundation Trust,North East,urology ,01/04/2024,3695,11.5,892,90,No
RXD,Kingswood NHS Foundation Trust,South East,Ear Nose and Throat,2024-02,5925,17.8,2459,127,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,General Surgery ,Oct-23,2230,13.5,476,77,No
RXE,Vale of Aldern NHS Trust,West Midlands,General Surgery ,Nov-24,2835,,1115,159,No
RXE,Vale of Aldern NHS Trust,West Midlands,cardiology,Apr-24,4229,13.6,1131,86,No
RXD,Kingswood NHS Foundation Trust,South East,Trauma & Orthopaedics,2023-07,5279,4.8,2093,419,No
RXH,Sherbourne NHS Foundation Trust,North East,Cardiology,01/03/2023,5345,13.7,1816,323,No
RXB,Eastfield General Hospitals Trust,East of England,cardiology,2023-09,1350,19.8,397,15,No
RXF,Harborview NHS Foundation Trust,South West,Cardiology,2023-12,2163,15.9,756,141,No
RXA,Northgate NHS Foundation Trust,North West,Cardiology,01/08/2024,5842,8.3,2542,154,No
RXH,Sherbourne NHS Foundation Trust,North East,Gastroenterology,2024-04,1680,14,562,31,No
RXE,Vale of Aldern NHS Trust,West Midlands,ent,2023-06,3322,10.4,1220,183,No
RXC,Riverside University Hospitals Trust,London,Ophthalmology,Jan-24,2653,11.2,944,141,No
RXE,Vale of Aldern NHS Trust,West Midlands,Urology,2024-02,3296,19.2,1106,109,No
RXC,Riverside University Hospitals Trust,London,ENT,01/07/2024,3632,11.5,1347,297,No
RXC,Riverside University Hospitals Trust,London,gastroenterology,Dec-23,3059,15.8,1023,69,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Ophthalmology,Jul-24,5421,13.1,1692,127,No
RXD,Kingswood NHS Foundation Trust,South East,cardiology,Sep-24,2818,14.2,917,93,No
